2018/7/20,0,29.9
2018/7/21,0,30.5
2018/7/22,0,31.0
2018/7/23,0,32.2
2018/7/24,2.5,29.8
2018/7/25,0.0,28.1
2018/7/26,0.0,26.5
2018/7/27,0.0,25.4
2018/7/28,52.0,24.0
2018/7/29,15.0,27.9
2018/7/30,0.0,28.0
2018/7/31,0,28.4
2018/8/1,0,30.3
2018/8/2,0.0,31.2
2018/8/3,0.0,30.5
2018/8/4,0,29.8
2018/8/5,0,30.4
2018/8/6,0.0,28.7
2018/8/7,4.5,22.2
2018/8/8,41.0,23.6
2018/8/9,4.0,27.4
2018/8/10,0,29.8
2018/8/11,0.5,28.7
2018/8/12,0.0,27.7
2018/8/13,10.5,27.5
2018/8/14,0,28.8
2018/8/15,0,29.7
2018/8/16,0.0,29.1
2018/8/17,0.0,26.3
2018/8/18,0,22.7
2018/8/19,0,23.6
2018/8/20,0.0,24.7
2018/8/21,0.0,28.2
2018/8/22,0.0,29.7
2018/8/23,0.0,29.4
2018/8/24,7.5,28.2
2018/8/25,0,31.1
2018/8/26,0,31.0
2018/8/27,16.0,29.4
2018/8/28,1.0,26.6
2018/8/29,0.5,26.1
2018/8/30,0.0,28.8
2018/8/31,1.0,28.7
2018/9/1,6.0,25.9
2018/9/2,7.5,22.1
2018/9/3,4.0,23.6
2018/9/4,14.5,26.5
2018/9/5,8.5,27.6
2018/9/6,0,27.6
2018/9/7,0.0,27.5
2018/9/8,0.0,28.8
2018/9/9,0,28.3
2018/9/10,38.5,25.5
2018/9/11,4.0,21.4
2018/9/12,0.0,21.0
2018/9/13,0.0,22.4
2018/9/14,7.5,21.9
2018/9/15,14.5,20.5
2018/9/16,0.0,23.1
2018/9/17,26.0,24.7
2018/9/18,40.5,23.3
2018/9/19,0.0,22.2
2018/9/20,40.5,19.9
2018/9/21,36.0,17.7
2018/9/22,0.0,21.5
2018/9/23,0.0,24.5
2018/9/24,1.5,24.4
2018/9/25,14.5,21.3
2018/9/26,38.5,17.7
2018/9/27,19.0,15.9
2018/9/28,0,19.7
2018/9/29,9.5,18.8
2018/9/30,34.0,20.4
2018/10/1,18.0,26.1
2018/10/2,0,22.0
2018/10/3,0,21.0
2018/10/4,0.0,20.1
2018/10/5,9.5,18.7
2018/10/6,0,23.7
2018/10/7,0,27.5
2018/10/8,0.0,21.9
2018/10/9,0,21.9
2018/10/10,0.5,22.4
2018/10/11,1.0,21.7
2018/10/12,0.0,20.0
2018/10/13,0.0,17.4
2018/10/14,7.5,16.4
2018/10/15,0.5,18.1
2018/10/16,0.0,18.4
2018/10/17,1.0,18.2
2018/10/18,0,17.2
2018/10/19,0.5,16.6
2018/10/20,9.0,16.6
2018/10/21,0,16.6
2018/10/22,0,16.6
2018/10/23,1.5,14.6
2018/10/24,0.5,17.7
2018/10/25,0,18.1
2018/10/26,0.0,18.0
2018/10/27,12.0,19.1
2018/10/28,0,16.9
2018/10/29,0,17.0
2018/10/30,0,17.0
2018/10/31,0,15.0
2018/11/1,0,14.7
2018/11/2,0,14.5
2018/11/3,0,14.9
2018/11/4,0.0,14.8
2018/11/5,1.5,18.0
2018/11/6,35.5,17.6
2018/11/7,0.0,16.6
2018/11/8,0.0,16.9
2018/11/9,7.0,15.6
2018/11/10,1.5,18.1
2018/11/11,0,16.3
2018/11/12,0.5,15.7
2018/11/13,1.5,14.9
2018/11/14,0.0,13.6
2018/11/15,0,12.5
2018/11/16,0,13.0
2018/11/17,0,14.9
2018/11/18,0.0,13.8
2018/11/19,8.5,13.4
2018/11/20,1.0,11.3
2018/11/21,1.5,11.6
2018/11/22,4.0,10.7
2018/11/23,0,10.8
2018/11/24,0,9.4
2018/11/25,0,10.1
2018/11/26,0,12.4
2018/11/27,0.0,13.8
2018/11/28,0.0,14.1
2018/11/29,0.5,12.8
2018/11/30,0,12.4
2018/12/1,0,12.0
2018/12/2,0.0,10.0
2018/12/3,0.0,13.2
2018/12/4,0.0,17.7
2018/12/5,0.0,16.8
2018/12/6,18.0,10.1
2018/12/7,0,12.2
2018/12/8,0,9.3
2018/12/9,0,7.8
2018/12/10,0,5.9
2018/12/11,7.0,4.7
2018/12/12,15.0,6.9
2018/12/13,0.5,6.7
2018/12/14,0,6.3
2018/12/15,0,6.1
2018/12/16,0.0,3.3
2018/12/17,2.5,6.6
2018/12/18,0.0,8.9
2018/12/19,0,8.2
2018/12/20,0,8.7
2018/12/21,0.0,8.9
2018/12/22,0.5,9.0
2018/12/23,0.5,9.9
2018/12/24,0,8.2
2018/12/25,0,5.8
2018/12/26,0,7.3
2018/12/27,0,9.0
2018/12/28,0,4.8
2018/12/29,0,4.3
2018/12/30,0,4.8
2018/12/31,0,4.9
2019/1/1,0,5.3
2019/1/2,0,6.2
2019/1/3,0,4.9
2019/1/4,0,5.1
2019/1/5,0,7.4
2019/1/6,0,5.3
2019/1/7,0,5.4
2019/1/8,0,4.6
2019/1/9,0,4.5
2019/1/10,0,2.0
2019/1/11,0,6.4
2019/1/12,0.0,4.6
2019/1/13,0.0,6.2
2019/1/14,0,5.6
